Survived,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,rand-feature
0,1,1,29.0,0,0,30.0,2.967061283900271
1,3,0,4.0,1,1,16.7,0.4780943317964058
0,3,0,18.0,2,0,18.0,1.0803021021725523
0,1,1,19.0,1,0,53.1,2.9959062684148368
1,2,0,24.0,1,0,26.0,1.1096675545556125
1,3,0,5.0,0,0,12.475,1.3553245952566844
0,3,1,51.0,0,0,8.05,1.0012766914661198
1,3,0,33.0,3,0,15.85,1.2291121193558836
0,3,1,29.0,0,0,7.875,0.9902389024282023
1,2,0,42.0,0,0,13.0,0.21050208900256506
0,3,1,26.0,0,0,7.8875,1.9170663028347477
0,2,1,21.0,0,0,0.0,2.037492186454542
1,3,0,24.0,0,2,22.3583,0.051833745906912476
0,1,1,64.0,0,0,26.0,0.010277121261560107
1,1,0,35.0,1,0,90.0,0.06052110379096376
0,3,1,34.5,0,0,6.4375,0.42152079073812665
0,3,1,16.0,2,0,21.6792,2.3252372068374467
0,3,0,25.0,1,0,7.925,0.8760296527424456
0,2,1,36.5,0,2,26.0,2.633059150809182
0,1,1,49.0,0,0,221.7792,0.3813595980840192
1,1,1,35.0,0,0,512.3292,0.15631135045098754
1,3,1,20.0,0,0,7.2292,0.7013182527745165
0,2,1,50.0,0,0,13.0,1.226058370647176
0,2,1,25.0,1,2,41.5792,2.6523816825359505
0,3,1,21.0,0,0,7.925,1.8040185640613073
0,2,1,39.0,0,0,13.0,0.45938240139963005
0,1,1,38.0,0,1,153.4625,1.3066603362676443
1,1,1,42.0,1,0,52.5542,0.8788209539875372
1,1,1,49.0,1,0,89.1042,1.054211589103081
0,2,1,23.0,2,1,11.5,2.9711487242701553
1,2,0,28.0,1,0,24.0,0.6167191440894028
0,1,1,64.0,1,4,263.0,2.245283695296509
1,1,0,48.0,1,0,52.0,2.6722121989541687
0,3,1,61.0,0,0,6.2375,1.7542851587826864
0,3,1,45.0,0,0,6.975,0.47132961487989045
1,3,1,9.0,0,2,20.525,2.0080816110375714
0,1,1,47.0,0,0,38.5,2.8875047732854773
1,2,1,0.83,0,2,29.0,1.798240715782915
0,3,0,45.0,1,4,27.9,1.4529718344748654
0,1,1,39.0,0,0,50.0,1.8135650948013633
0,2,1,54.0,0,0,14.0,0.9613080808331413
0,3,0,25.0,0,0,7.775,1.6027449843295272
1,3,0,31.0,1,1,20.525,0.4078535249728896
0,3,1,24.0,1,0,16.1,2.8053464118160205
0,3,1,19.0,0,0,7.7292,2.841184085601264
1,1,0,48.0,1,0,146.5208,0.8002288583756686
0,1,1,45.5,0,0,28.5,1.4244886134895658
0,3,1,36.0,1,0,15.55,1.1327248669481018
0,1,1,61.0,0,0,32.3208,0.770277132575178
1,3,0,28.0,1,0,24.15,2.187762099028967
1,3,0,21.0,0,0,7.65,0.28186178763550795
1,2,0,24.0,0,2,14.5,1.6927402017249318
1,1,0,19.0,0,0,30.0,1.093245364900353
0,3,1,70.5,0,0,7.75,0.7917884332859042
1,2,0,28.0,0,0,13.0,0.19988125152731662
0,3,1,36.0,0,0,6.95,0.270457619442692
0,3,1,19.0,0,0,8.05,0.7228588229045023
